id,tweet,label1,label2,label3
1351732430596579330,"@user Because no one has yet to explain to me ill ask again. What's the point of the vaccine if its 95% effective, and the healthy human body is 99%+? Pfizer and moderna said the vaccine doesn't prevent you from getting covid or spreading. So why are we soon being forced to take it?",AntiVax,AntiVax,AntiVax
1377242604807598083,"2nd dose moderna Covid side effects. Sore joints, bit headachey and feeling a little blocked up and sniffley. Glad I took today off work.",Neutral,ProVax,Neutral
1351505966362222592,"Add ""funded development of Moderna vaccine"" to her list of accomplishments. Happy Birthday Dolly!",ProVax,ProVax,ProVax
1364293993006305288,"@user Welp considering the current odds of dying WITHOUT the vaccine are 1 in 1000 and with the pfizer are 11 in 1000, waiting might not be all that bad.",AntiVax,AntiVax,ProVax
1353873617071857664,@user But sadly lots of staff have declined the vaccine (so I have read)..?,ProVax,ProVax,AntiVax
1366652104983654400,I have mentioned Moderna severally and we saw the share price go up through all of last year with the development of the Covid vaccine. Scope Markets has been rolling out articles about this.,Neutral,Neutral,ProVax
1348866000767250434,"@user I hope that you take some time to reflect. This is for your own health, your students, the families you serve and your co-workers at WESD. The vaccine will protect and benefit us all. AZ has the highest COVID-19 infection rate in the world.",ProVax,ProVax,ProVax
1346553194252443649,Pfizer rolls out New Logo timed along with the #COVID vaccine — Playing Up Role in Drug Creation - WSJ #Branding #Brand https://t.co/33MEL6arHd,Neutral,Neutral,Neutral
1376869505947865089,"Masha Allah Vaccinated. Today, I Received my First Dose of Covid-19 Vaccine of AstraZeneca Oxford administered by the NPHC staff performed at Federal University Gusau Allah ya kara bamu lafiya da Zaman lafiya. 30-03-2021. @user https://t.co/DC5gu1AlyM",ProVax,ProVax,ProVax
1371800942207717383,"CORRECTED-UPDATE 1-Moderna begins testing of new COVID-19 vaccine. It can be stored in refrigerators, and doesn't have to be frozen. That's an extremely helpful advance for Moderna, and for storing the vaccine! https://t.co/CSVUVTmeY6 via @user",ProVax,ProVax,ProVax
1346496895036878849,"European Union is negotiating with Pfizer and BionTech on a deal to acquire another 300 Million doses of SARS-CoV-2 vaccine. This would lift the total doses to 600 million, enough to vaccinate two-thirds of the EU's population, based on a two-dose regimen. https://t.co/2cB4SWjAtg",ProVax,ProVax,Neutral
1374135653332615168,@user It is law that they cannot force any preventative medical procedure (vaccine) on anyone without their informed consent and they are also not allowed to disadvantage or prejudice anyone who refuses.,Neutral,AntiVax,ProVax
1375245268333957123,"In 2018, Govenor General Julie Payette presented Qiu with an innovation award for her helping to lead the development of the Ebola vaccine ZMapp, according to the Winnipeg Free Press. https://t.co/wqrsYfOjae",ProVax,ProVax,Neutral
1371965817521377281,My CPA got the covid vaccine and now he in the hospital cuz his eyes swole up.,Neutral,AntiVax,AntiVax
1376949436996333569,"but we eradicated polio, German measles, and small pox, and we will get covid under control but we do it by getting vaccinated. It worked for measles, mumps, small pox, yellow fever, polio, and even chicken pox. It works annually for the influenza. It will work for covid.",ProVax,ProVax,ProVax
1354135404820230144,"Teachers are saying they need to feel protected in order to return to teaching in person. They should not go back until they are vaccinated, I hear. Do teachers know that in the event of short or long term adverse events, the only thing protected is the pharmaceutical industry?",AntiVax,AntiVax,AntiVax
1347797252463611906,10 days since being vaccinated against Covid. Biggest side effect is an improvement in my mental health. Get the vaccine. It’s our way out.,ProVax,ProVax,ProVax
1369776438061174786,"Leftovers happen, even with the Covid Vaccine - people miss appointments - so sign up to take advantage of leftover vaccines near you! https://t.co/rrNxNwqDNO",ProVax,ProVax,ProVax
1355183517722882050,"@user Their vaccine has a very high performance rate of 87% in preventing severe disease. This is the only criteria that matters in preventing mortality. As for variant, they will undoubtedly do what Pfizer & Moderna are in Boosting their vax for mutants. #JohnsonAndJohnsonVax",ProVax,ProVax,ProVax
1377393272511811585,"@user In fact, the third vaccine the moderna one is also MRHA approved.",ProVax,Neutral,ProVax
1347548548997521409,"@user Here in Milton Keynes, we had 347 in 24 hours, which apparently means the infection rate is stabilising here. Currently one of the worst rates in the UK 😣 Mum is still in Scarborough, went to get vaccinated and they ran out before getting to her.",Neutral,Neutral,Neutral
1393048498287923204,CDC says vaccinated people may now take 1 extra item into the dressing room,Neutral,Neutral,Neutral
1356283601265033216, https://t.co/f2YoQAavu9 #Covid #COVID19 #CovidVaccination #Vaccination #Inoculation #COVID-19UK #SouthAfricanValiant Unless you have had the Covid viral infection the odds are you will always remain at risk and unaware of how your body will respond to it with or without vaccine.,ProVax,ProVax,Neutral
1380163198628794372,Communicating the potential benefits and harms of the Astra-Zeneca COVID-19 vaccine. https://t.co/KFfU2m0muD,Neutral,Neutral,Neutral
1380889298040422405,@user Remember when you lot used to call AZ “the Oxford vaccine”? 😁,Neutral,Neutral,Neutral
1377212832551473153,"BREAKING: Pfizer says its coronavirus vaccine is safe and protective in kids as young as 12. As we switch from @user to FOX 43 at 7, we'll share what this may mean for the next school year.",Neutral,Neutral,ProVax
1347515958882144262,"Hunt for fake vaccine fraudster who injected woman, 92, in Surbiton https://t.co/YhWregmUyX",Neutral,AntiVax,Neutral
1378783567438811137,Check list for staying safe in Ontario. ✔️#vaccinate ✔️#stayhome ✔️#mask ✔️#PaidSickDays ✔️#CheckTheFreezerDoug ✔️#vaccinate ✔️#FireLecce ✔️#vaccinate ✔️#FireFord ✔️#vaccinate ✔️#VoteFordOut2022 #FordLiedPeopleDied #FordVaccineFailure #OntarioCovidFailure,ProVax,AntiVax,ProVax
1364981308074512388,"Mom just got her first vaccine shot. Of course we still hold our breath until past the second. But that's everyone in my family. It's my mama, a step closer to safety. Tears.",ProVax,ProVax,ProVax
1374669745560109057,"Still think it's just a mask? Experimental vaccines for children, vaccine certificates and fines for leaving the country ...",Neutral,AntiVax,AntiVax
